金庸	射鵰英雄傳	?M=book&P=55	美格騰製作 2006/2/12 (1896K) tiknuhc按掃描檔勘誤多處 2017/8/4
金庸	神鵰俠侶	?M=book&P=56	CE校正 2013/2/8 (1917K) 章雪曼勘誤 2015/10/2
金庸	倚天屠龍記	?M=book&P=57	美格騰製作 2007/6/1 (1940K) Read2015勘誤一13處二11處三51處四22處 2016/5/6
金庸	書劍恩仇錄	?M=book&P=58	美格騰製作 2003/3/28 (1024K) 士兵勘誤上1處下1處 2017/10/6
金庸	碧血劍	?M=book&P=59	美格騰製作 2003/7/30 (859K) JC勘誤上1處下2處 2016/2/5
金庸	連城訣	?M=book&P=62	美格騰製作 2003/10/23 (479K) tiknuhc按掃描檔勘誤多處 2017/9/1
金庸	雪山飛狐	?M=book&P=60	美格騰製作 2003/12/22 (270K) 羅速齋勘誤4處 2015/5/6
金庸	飛狐外傳	?M=book&P=61	美格騰製作 2005/9/15 (887K) mark勘誤 2015/8/7
金庸	俠客行	?M=book&P=63	美格騰製作 2003/6/30 (755K) sky按掃描檔勘誤上66處下57處 2016/5/6
金庸	天龍八部	?M=book&P=65	美格騰製作 2003/9/29 (2449K) tiknuhc按掃描檔勘誤多處 2017/7/7
金庸	笑傲江湖	?M=book&P=66	tiknuhc校正 2015/11/6 (2020K)
金庸	鹿鼎記	?M=book&P=67	美格騰製作 2003/7/11 (2541K) 敖先榮勘誤6處 2016/10/7
金庸	袁崇煥評傳	?M=book&P=257	美格騰製作 2003/7/30 (149K)
金庸	鴛鴦刀	?M=book&P=259	美格騰製作 2003/11/3 (71K) mPDB勘誤4處 2016/12/2
金庸	越女劍	?M=book&P=10U4	美格騰製作 2003/6/30 (35K) sky按掃描檔勘誤10處 2016/5/6
金庸	白馬嘯西風	?M=book&P=260	美格騰製作 2003/11/4 (140K) mPDB轉檔 2010/10/16
金庸	舊版射鵰英雄傳	?M=book&P=301	兩位讀友製作 2004/6/19 (1762K) ED2015勘誤 2015/4/3
金庸	舊版神鵰俠侶	?M=book&P=354	ysj製作 2004/7/10 (2035K) ED2015勘誤 2015/4/3
金庸	舊版碧血劍	?M=book&P=377	ysj製作 2005/4/21 (716K) ED2015勘誤 2015/5/1
金庸	舊版倚天屠龍記	?M=book&P=412	ysj製作 2005/8/23 (2108K) ED2015、TC勘誤 2015/5/1
金庸	舊版雪山飛狐	?M=book&P=501	某讀友製作 2006/11/10 (261K) mPDB勘誤 2011/10/10
金庸	舊版笑傲江湖	?M=book&P=517	兩位讀友製作 2007/1/7 (2131K) 敖先榮勘誤70處 2017/1/6
金庸	舊版書劍恩仇錄	?M=book&P=543	兩位讀友製作 2007/11/14 (1104K) mPDB勘誤103處 2017/4/7
金庸	舊版天龍八部	?M=book&P=552	兩位讀友製作 2008/9/22 (2651K) mPDB勘誤218處 2017/4/7
金庸	舊版素心劍	?M=book&P=10U2	本尊小瘋子製作 2010/12/20 (486K)
金庸	舊版白馬嘯西風	?M=book&P=10P5	本尊小瘋子製作 2010/10/26 (166K)
金庸	新修版神鵰俠侶	?M=book&P=10U8	RSW製作 2010/1/2 (493K) 申明生勘誤三158處四137處 2017/7/7
金庸	新修版鴛鴦刀	?M=book&P=1130	RSW製作 2011/3/11 (72K) sue1289勘誤17處 2017/10/6
金庸	新修版白馬嘯西風	?M=book&P=10P6	RSW製作 2010/10/26 (142K)
倪匡	我看金庸小說	?M=book&P=17C1	henry142製作 2017/5/5 (105K) Erving Zhao勘誤5處 2017/9/1
倪匡	再看金庸小說	?M=book&P=17C3	henry142製作 2017/5/5 (131K)
倪匡	三看金庸小說	?M=book&P=17C9	henry142製作 2017/5/5 (157K) tiknuhc勘誤35處、Gilbert勘誤1處 2017/6/2
倪匡	四看金庸小說	?M=book&P=17D4	henry142製作 2017/6/2 (141K)
倪匡	五看金庸小說	?M=book&P=17E2	henry142製作 2017/6/2 (159K)
倪匡	論金庸	?M=Share&P=0322	何永鴻製作 2003/5/22 (75K) 敖先榮勘誤 2012/11/16
倪匡	逝去的武林	?M=Share&P=0961	蒙天放製作 2009/9/15 (165K)
倪匡	null	?M=m&P=I0429:0">金庸傳奇</a>》<a href="PDB/I/0429.pdb	 何永鴻製作 2004/7/5 (323K) 2010/5/28
顧明道	荒江女俠	?M=book&P=17E6	邱應琦製作 2017/6/2 (1897K)
還珠樓主	北海屠龍記	?M=book&P=16S0	嘉明製作 2016/12/2 (234K)
平江不肖生	近代俠義英雄傳	?M=book&P=17I2	嘉明製作 2017/8/4 (1571K)
平江不肖生	玉玦金環錄	?M=book&P=17J4	嘉明製作 2017/9/1 (801K)
平江不肖生	江湖奇俠傳	?M=Share&P=09D2	L8879校正 2015/12/4 (2105K) 簡華特按原書勘誤1310處、sue1289勘誤53處 2017/4/7
王度廬	鶴驚崑崙	?M=book&P=1566	邱應琦製作 2015/2/6 (951K) giff勘誤21處 2017/4/7
王度廬	寶劍金釵	?M=book&P=1567	邱應琦製作 2015/2/6 (778K) giff勘誤9處、Steve勘誤24處 2017/5/5
王度廬	劍氣珠光	?M=book&P=1568	邱應琦製作 2015/2/6 (692K) mPDB勘誤16處 2016/12/2
王度廬	臥虎藏龍	?M=book&P=15A9	邱應琦製作 2015/3/6 (967K)
王度廬	燕市俠伶	?M=book&P=1632	守民製作 2016/3/4 (151K) Gilbert勘誤6處 2016/3/4
王度廬	風雨雙龍劍	?M=book&P=1633	守民製作 2016/3/4 (398K)
鄭丰	多情浪子癡情俠	?M=book&P=14R7	嘉明製作 2014/8/1 (1641K) Isabel勘誤 2015/9/4
鄭丰	神偷天下	?M=book&P=16P7	嘉明製作 2016/11/4 (1022K) 敖先榮勘誤一19處 2017/8/4
步飛煙	武林客棧．日曜卷	?M=book&P=14P3	嘉明製作 2014/8/1 (362K) Gilbert勘誤 2014/9/5
步飛煙	武林客棧．月闕卷	?M=book&P=14P4	嘉明製作 2014/8/1 (399K) Gilbert勘誤 2014/9/5
步飛煙	武林客棧．星漣卷	?M=book&P=14P8	嘉明製作 2014/8/1 (475K) Gilbert勘誤 2014/9/5
蕭玉寒	三國異俠傳．卷一	?M=book&P=1361	嘉明製作 2013/3/1 (160K) 簡華特勘誤41處 2017/7/7
蕭玉寒	三國異俠傳．卷二	?M=book&P=1362	嘉明製作 2013/3/1 (160K) 簡華特勘誤35處 2017/7/7
蕭玉寒	三國異俠傳．卷三	?M=book&P=1363	嘉明製作 2013/3/1 (160K) 簡華特勘誤57處 2017/7/7
蕭玉寒	三國異俠傳．卷四	?M=book&P=1365	嘉明製作 2013/3/8 (160K) 簡華特勘誤59處 2017/7/7
蕭玉寒	三國異俠傳．卷五	?M=book&P=1366	嘉明製作 2013/3/8 (158K) 簡華特勘誤54處 2017/7/7
蕭玉寒	三國異俠傳．卷六	?M=book&P=1367	嘉明製作 2013/3/8 (157K) 簡華特勘誤48處 2017/7/7
蕭玉寒	三國異俠傳．卷七	?M=book&P=1368	嘉明製作 2013/3/8 (158K) 簡華特勘誤19處 2017/7/7
蕭玉寒	三國異俠傳．卷八	?M=book&P=1372	嘉明製作 2013/3/15 (159K) 簡華特勘誤76處 2017/7/7
蕭玉寒	三國異俠傳．卷九	?M=book&P=1373	嘉明製作 2013/3/15 (160K) 簡華特勘誤96處 2017/7/7
蕭玉寒	三國異俠傳．卷十	?M=book&P=1374	嘉明製作 2013/3/15 (159K) 簡華特勘誤40處 2017/7/7
方白羽	千門卷一：千門之門	?M=book&P=16L6	張燈製作 2016/10/7 (226K) 簡華特勘誤3處 2017/10/6
方白羽	千門卷二：千門之花	?M=book&P=16L7	張燈製作 2016/10/7 (245K) 簡華特勘誤11處 2017/10/6
方白羽	千門卷三：千門之雄	?M=book&P=16M5	張燈製作 2016/11/4 (246K) 簡華特勘誤28處 2017/10/6
方白羽	千門卷四：千門之威	?M=book&P=16P4	張燈製作 2016/11/4 (220K) 簡華特勘誤20處 2017/10/6
方白羽	千門卷五：千門之心	?M=book&P=16R8	張燈製作 2016/12/2 (218K) 簡華特勘誤19處 2017/10/6
方白羽	千門卷六：千門之聖	?M=book&P=1704	張燈製作 2017/1/6 (265K) 簡華特勘誤18處 2017/10/6
上官鼎	長干行	?M=book&P=1310	嘉明製作 2013/1/11 (1225K) 敖先榮勘誤 2013/5/31
上官鼎	七步干戈	?M=book&P=1317	嘉明製作 2013/1/18 (1487K)
伴霞樓主	紫府迷蹤．奔雷小劍	?M=book&P=1369	嘉明製作 2013/3/8 (940K) Gilbert勘誤61處 2016/3/4
伴霞樓主	紫府迷蹤．冤有頭債有主	?M=book&P=13C0	嘉明製作 2013/5/17 (912K) mPDB勘誤58處 2016/3/4
伴霞樓主	紫府迷蹤．蒼天有眼	?M=book&P=13D7	嘉明製作 2013/6/21 (872K) mPDB勘誤32處 2016/3/4
陳青雲	雪劍冰心	?M=book&P=10S1	嘉明製作 2010/11/22 (726K) 嘉明勘誤 2014/9/5
陳青雲	刀劍金鷹	?M=book&P=13E1	guinness製作 2013/6/28 (464K) 邱應琦勘誤補缺 2013/11/8
陳青雲	異鄉客	?M=book&P=15J2	guinness製作 2015/6/5 (443K) ED2015勘誤 2015/6/5
陳青雲	寒星冷月仇	?M=book&P=15H7	呂旭栴製作 2015/5/1 (1057K) ED2015勘誤 2015/5/1
陳青雲	黑儒傳	?M=book&P=15J0	null
陳青雲	鐵笛震武林	?M=book&P=15K8	L8879製作 2015/6/5 (969K) ED2015勘誤 2015/7/3
陳青雲	殘肢令	?M=book&P=15M1	L8879製作 2015/7/3 (847K) 峰勘誤 2015/7/3
雪雁	龍劍青萍	?M=book&P=13F0	嘉明製作 2013/7/19 (1065K)
雪雁	佛功魔影	?M=book&P=1445	嘉明製作 2014/2/7 (1095K)
