徐枕亞	玉梨魂	?M=book&P=11N5	eagle.rex製作 2012/1/9 (228K) eagle.rex勘誤 2012/1/12
施叔青	香港三部曲	?M=book&P=544	李亦流校正 2011/8/28 (671K) 敖先榮勘誤 2014/12/5
林語堂	京華煙雲	?M=book&P=541	美格騰製作 2007/9/19 (1082K)  Steve勘誤9處 2016/10/7
葉聖陶	倪煥之	?M=book&P=576	陳偉森製作 2010/4/23 (319K) mPDB轉檔 2010/12/23
許地山	春桃	?M=book&P=506	tiknuhc校正 2011/11/11 (26K) sue1289勘誤3處 2016/11/4
聶華苓	桑青與桃紅	?M=book&P=1144	guinness更新 2015/1/2 (246K)
王藍	藍與黑	?M=book&P=545	美格騰製作 2008/2/23 (613K) mPDB勘誤42處 2016/8/5
柔石	二月	?M=book&P=535	美格騰製作 2007/6/2 (150K) A Yung勘誤 2014/9/5
徐訏	風蕭蕭	?M=book&P=566	k.p.lee製作 2009/8/3 (590K) mPDB勘誤 2015/10/2
古華	芙蓉鎮	?M=book&P=553	邱子軒製作 2008/10/10 (280K) mPDB轉檔 2010/12/25
臺靜農	地之子	?M=book&P=551	邱子軒製作 2008/9/20 (144K) loading1912勘誤 2014/8/1
張煒	古船	?M=book&P=514	Lin Lee 校正 2012/7/2 (543K)
劉以鬯	酒徒	?M=book&P=534	Kendrick Ho校正 2011/6/17 (238K) mPDB勘誤 2015/4/3
鹿橋	未央歌	?M=book&P=562	楊慶松校正 2009/6/13 (946K) Ed2017勘誤30處 2017/3/3
張潔	沉重的翅膀	?M=book&P=11M9	sue1289製作 2011/12/16 (452K) JC勘誤1處 2015/12/4
師陀	果園城記	?M=book&P=580	陳偉森製作 2010/9/19 (153K) 陳偉森更新 2013/3/22
王小波	黃金時代	?M=book&P=454	邱五製作 2017/7/7 (548K) 
劉恆	狗日的糧食	?M=book&P=428	美格騰製作 2005/9/7 (19K) mPDB勘誤 2012/1/18
張系國	棋王	?M=book&P=472	阿克校正 2012/6/14 (176K) 蟻滿長安勘誤5處 2017/6/2
黃凡	賴索	?M=book&P=549	邱子軒製作 2008/8/4 (35K) 敖先榮勘誤 2014/10/3
蘇童	妻妾成群	?M=book&P=389	Lin Lee校正 2013/5/17 (73K) 敖先榮 2013/5/31
李碧華	霸王別姬	?M=book&P=504	Damon校正 2010/6/2 (222K) mPDB勘誤 2012/1/18
李昂	殺夫	?M=book&P=447	Lin Lee校正 2012/5/17 (120K)
